system,method,scenario_id,split,actual_case,forecast_case,horizon,gamma_Q,cost,perfect_cost,gap_percent,voltage_violation,solve_time_s,avg_step_time_s,max_step_time_s,solver_fail_count,timeout_count,completed,incomplete_reason,seed,solver_kind,solver_window,executed_steps,include_tail,max_steps,final_P_DG_5,final_SOC_BSS_9,step_costs_json,step_times_json,failure_message,diagnostic_case,diagnostic_case_label,modified_property,price_variation,time_coupling,flat_price,relaxed_ramp,relaxed_ramp_value,relaxed_ramp_setting,experiment_tag,source_cache,gap_to_perfect_percent,cost_accounting,certified_global,gurobi_status,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_model_status,min_model_sol_count
33,Perfect-Global,82,test_id,id_actual,perfect_full_horizon,48,,1264.8465396940937,1264.8465396940937,0.0,,1800.8680000305176,37.518083333969116,1800.8680000305176,0,1,True,,100082,perfect_global_clean,48,48,True,,1.0,0.1250000000080796,"[27.888971592317667, 17.400302391162967, 16.709472516548985, 11.611508724055122, 6.290173054249786, 11.03797760092926, 9.55350166105217, 13.098149680937453, 11.16587442099366, 10.434921109326407, 11.13634357502426, 6.16615, 30.47538987707607, 10.270841906682817, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 6.024562848958021, 4.791151868623851, 3.5578368897896686, 3.345238252072348, 4.578536682186892, 5.811931112801377, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 33.715621425195955, 46.014671977805094, 60.24786779290641, 93.1988729716389, 86.11816425057319, 46.96672562179359, 60.83992602201656, 56.20956624629856, 55.08749667644497, 55.99708233236431, 54.551703374624395, 50.501509839355535, 51.181363140864875, 56.83466213835904, 54.14528508950046, 59.509742421345635, 54.549792608217295]","[37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116, 37.518083333969116]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.8680000305176,0.001425738366852542,0.001425738366852542,9,3
33,Perfect-Global,83,test_id,id_actual,perfect_full_horizon,48,,1322.5368740649549,1322.5368740649549,0.0,,1801.6689999103546,37.53477083146572,1801.6689999103546,0,1,True,,100083,perfect_global_clean,48,48,True,,1.0,0.12500000000806444,"[24.36553305754055, 19.224633284773102, 16.23991004719391, 12.526585675322485, 10.132239838949225, 6.16615, 10.783487011615673, 9.854607758044187, 6.355153360303233, 8.02977241054357, 7.437686565124748, 7.289968760483144, 35.662217957596006, 10.344971741105338, 6.16615, 6.16615, 6.16615, 6.16615, 4.932728, 4.84223653552854, 3.940563821003503, 2.707315049789431, 2.558241403144703, 3.791478569486524, 5.024811736328286, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 18.575293174674172, 42.48821515101894, 67.40206569128918, 71.58761015575547, 100.34492410068688, 88.17364695689896, 51.41025360173322, 41.75708041156447, 55.754690056338035, 58.120822658656635, 54.569433666998535, 57.40845422540064, 58.67686488179115, 60.85142882239937, 57.933644058042304, 57.592091418747025, 55.79719589692246, 56.38751655216123]","[37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572, 37.53477083146572]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1801.6689999103546,0.0012807410992522004,0.0012807410992522004,9,3
33,Perfect-Global,84,test_id,id_actual,perfect_full_horizon,48,,1379.7734084486979,1379.7734084486979,0.0,,1800.398999929428,37.508312498529754,1800.398999929428,0,1,True,,100084,perfect_global_clean,48,48,True,,1.0,0.125000000008059,"[20.570295207793517, 22.978438731352608, 15.326204342255615, 11.7239459123228, 12.477033845147378, 9.424160450303368, 7.382360891723558, 9.172581341393585, 8.462138562915577, 10.721054087366799, 10.055925801753384, 8.296797670751797, 22.907545915835826, 15.105829545480704, 6.16615, 6.16615, 6.16615, 6.16615, 5.137592832694329, 3.9042508874923496, 2.6710049425655806, 1.4378549990839025, 2.6710049428020297, 3.904250887755008, 5.137592832966434, 6.16615, 4.932728, 6.16615, 6.16615, 20.46657534856072, 17.79721852456107, 48.000718820907586, 71.30372371417047, 69.67842901236394, 98.4336485270218, 88.12734921896225, 48.695374916614504, 66.90825379497021, 55.94358249006974, 58.799288452016725, 55.84893038187819, 62.43859680881231, 60.316649569759974, 61.80617835377352, 54.56860293500281, 62.92682209209301, 60.406893551760575, 59.74292930364247]","[37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754, 37.508312498529754]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.398999929428,0.0011748015505045084,0.0011748015505045084,9,4
33,Perfect-Global,85,test_id,id_actual,perfect_full_horizon,48,,1326.5560508128356,1326.5560508128356,0.0,,1801.5039999485016,37.53133333226045,1801.5039999485016,0,1,True,,100085,perfect_global_clean,48,48,True,,1.0,0.12500000000808428,"[27.723381315359603, 21.491458976304877, 21.214496149838112, 13.80677039308684, 11.102360706812942, 11.398433507407702, 14.89359608759845, 10.007395887879547, 6.16615, 9.488696014720787, 11.732356129997097, 10.158875872398298, 33.245300335586734, 14.141155207751439, 6.16615, 6.16615, 6.16615, 6.16615, 6.089093330859885, 4.855677328634439, 3.6223573269089346, 2.4661720000000003, 3.699402, 4.932728, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 19.19609752176077, 19.669777296973955, 39.9380994196258, 64.21041770217148, 75.9180027166992, 85.50229081133212, 79.63702998708666, 50.78136924903025, 53.713744769205384, 55.22695718822109, 49.40801938037315, 59.192063991456486, 55.41257088807194, 57.120875530401605, 61.1280976828887, 50.62768169264874, 49.5036212055323, 48.414455477542845, 54.22367173066728]","[37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045, 37.53133333226045]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1801.5039999485016,0.001278664987264238,0.001278664987264238,9,3
33,Perfect-Global,86,test_id,id_actual,perfect_full_horizon,48,,1321.0429915624934,1321.0429915624934,0.0,,1800.5859999656677,37.51220833261808,1800.5859999656677,0,1,True,,100086,perfect_global_clean,48,48,True,,1.0,0.12500000000808176,"[18.71072719221261, 20.566762452564785, 18.65182760190846, 11.996423247195725, 9.94914466953024, 10.353716307304602, 10.21151075171043, 10.168497265251556, 7.633567862135024, 8.332344141733364, 9.065934314782108, 8.924851425280906, 33.96410429461813, 21.504850173974702, 6.16615, 6.16615, 6.16615, 6.16615, 4.932728, 5.43870319412758, 4.235889235559645, 3.002617476386628, 2.807993507168862, 4.041250115793846, 5.27460272491877, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 25.45288543418166, 37.950790726454905, 52.82087522874917, 67.64468229433328, 75.2396894825336, 109.2745769726622, 57.16078723255942, 49.13443933252288, 55.13562606239894, 61.52005299681043, 56.59058774881166, 60.04053107029456, 53.42034679765298, 53.95978553222545, 50.8091891161253, 60.89041579971896, 58.161432548936574, 50.57290123136335]","[37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808, 37.51220833261808]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.5859999656677,0.001315068627071366,0.001315068627071366,9,3
33,Perfect-Global,87,test_id,id_actual,perfect_full_horizon,48,,1335.3342894852017,1335.3342894852017,0.0,,1800.6840000152588,37.514250000317894,1800.6840000152588,0,1,True,,100087,perfect_global_clean,48,48,True,,1.0,0.12500000000807984,"[24.271672619059007, 21.356260809214877, 13.210902763846182, 10.821801745298135, 9.513966105138199, 12.024654580640608, 8.896846710848504, 8.894745697008268, 10.540116429640891, 8.263978973452023, 13.230423579815929, 10.790827152701809, 33.295173128160634, 20.380868577673056, 6.16615, 6.16615, 6.16615, 6.16615, 5.857992028401214, 4.624594014362214, 3.3912919992878003, 2.58237929626281, 1.5740210061985527, 2.8071815392971264, 4.040438084783734, 5.273790629312544, 6.16615, 6.16615, 6.16615, 6.16615, 28.90319501532268, 51.983451980125665, 70.41563736185685, 62.75642675992607, 92.6230869419591, 77.1780462710816, 58.504539004171015, 56.10755363261715, 61.504471986071565, 55.267931303440406, 60.211746935974524, 53.616202492163474, 47.21076899233575, 59.30371570270648, 51.14397895899408, 52.39507119539646, 54.32381221188263, 56.91152526877206]","[37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894, 37.514250000317894]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.6840000152588,0.0012797976421137758,0.0012797976421137758,9,2
33,Perfect-Global,88,test_id,id_actual,perfect_full_horizon,48,,1322.1408773277124,1322.1408773277124,0.0,,1800.5679998397827,37.511833329995476,1800.5679998397827,0,1,True,,100088,perfect_global_clean,48,48,True,,1.0,0.12500000000808023,"[26.572027378739755, 16.93886880195302, 18.087883312218576, 15.60940513482359, 14.9508297929744, 12.009188898338888, 13.352966919971704, 13.90061868518503, 9.313268989026632, 6.263350938255558, 12.152395945390701, 12.147893859349642, 30.907405386271286, 21.41590819876135, 6.16615, 6.16615, 6.16615, 6.16615, 5.366086104419769, 4.13272637533533, 3.2023922339585345, 2.4661720000000003, 3.699402, 4.932728, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 8.697362795935392, 6.16615, 45.545774528956166, 59.73767555958871, 67.95562345287283, 76.15791984361691, 79.20484711403458, 55.063429727494515, 55.04501580294181, 56.66454322236891, 54.012182659941026, 65.16492906803221, 61.08528579996488, 59.399865922187345, 48.90485201291205, 50.22630107802247, 55.840621016020854, 58.45745540466131, 55.89417336318645]","[37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476, 37.511833329995476]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.5679998397827,0.0013192661084090785,0.0013192661084090785,9,2
33,Perfect-Global,89,test_id,id_actual,perfect_full_horizon,48,,1395.1686623015219,1395.1686623015219,0.0,,1800.5920000076294,37.51233333349228,1800.5920000076294,0,1,True,,100089,perfect_global_clean,48,48,True,,1.0,0.12500000000806377,"[28.868996660891668, 20.622451156756423, 18.129658611873683, 12.256922313644809, 6.619464869023762, 9.354278968490027, 9.874568835502807, 12.481644357349438, 8.780828119453709, 10.398028537850994, 8.895529224021942, 10.230245554870162, 30.30754434959711, 14.449180249631137, 6.16615, 6.16615, 6.16615, 6.16615, 4.932728, 5.952255641097399, 4.718850288772827, 3.4855409366148904, 2.2523275849568942, 3.2814966703217197, 4.514790138585852, 5.748179607349926, 6.16615, 6.16615, 6.16615, 11.104760430040923, 11.204950807550265, 70.89318738133817, 40.16718021448769, 79.49015402951635, 97.6873641448712, 105.82616599811836, 58.64117351853963, 46.84222990771944, 58.60734512402442, 63.0589124009186, 61.26259515817282, 58.12120107182925, 61.983925677425006, 65.95545633869125, 58.18087204031615, 58.219142253090084, 57.83044353863886, 50.773041589576074]","[37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228, 37.51233333349228]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.5920000076294,0.0011751048604460453,0.0011751048604460453,9,2
33,Perfect-Global,90,test_id,id_actual,perfect_full_horizon,48,,1328.7701165870474,1328.7701165870474,0.0,,1800.5499999523163,37.51145833233992,1800.5499999523163,0,1,True,,100090,perfect_global_clean,48,48,True,,1.0,0.12500000000806302,"[24.60480411103382, 19.873255697994363, 14.130892908706134, 13.026502023405687, 11.216130959769139, 9.203158127735604, 10.335166889786112, 9.951236834222142, 12.224240463866176, 10.709015053787475, 9.171768500441893, 11.48426263567789, 16.729534084678164, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 5.649793995656772, 5.238931398287201, 4.005581565592887, 2.772327733398517, 3.699402, 4.932728, 6.16615, 4.9368613660109295, 6.16615, 6.16615, 6.16615, 12.142364984055842, 6.16615, 48.863465507532915, 51.30855871724452, 76.02351068074671, 85.93055757223584, 98.47654728804494, 44.01046871621226, 53.25841905394123, 62.074589946483464, 56.243588160515756, 62.30308753875051, 52.44733065963174, 57.5758872927694, 62.611505574957576, 60.04880416228144, 58.73349104894471, 62.141504583574175, 59.019340749073585]","[37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992, 37.51145833233992]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.5499999523163,0.001296276167957579,0.001296276167957579,9,3
33,Perfect-Global,91,test_id,id_actual,perfect_full_horizon,48,,1352.961137244779,1352.961137244779,0.0,,1800.6050000190735,37.51260416706403,1800.6050000190735,0,1,True,,100091,perfect_global_clean,48,48,True,,1.0,0.12500000000806816,"[29.35052092934123, 23.115431586985014, 15.756107162775887, 17.125219250036505, 11.103599725381482, 12.584074290949456, 12.96888217201359, 9.674723323301276, 9.917316752976065, 9.034828366420774, 8.235029828342686, 14.88928677095277, 42.230797353581295, 13.664505071529941, 6.16615, 6.16615, 6.16615, 6.16615, 5.654063781202522, 4.420681638114097, 4.044966824329515, 2.8117099263972696, 3.699402, 4.932728, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 11.59847498482465, 24.950933873885326, 32.45028719953246, 65.08565171581046, 62.93672260006541, 98.25859286777761, 70.6379160395261, 60.23954200832451, 52.39087302249583, 55.179439363230436, 55.75259709994813, 52.66259878481321, 60.70456267156601, 57.71137491164564, 51.860068384052354, 60.99136244992426, 59.82532504343942, 55.46960418725648, 53.54598528202916]","[37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403, 37.51260416706403]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.6050000190735,0.0013266357313869183,0.0013266357313869183,9,3
33,Perfect-Global,92,test_id,id_actual,perfect_full_horizon,48,,1213.58152547329,1213.58152547329,0.0,,1801.858999967575,37.53872916599115,1801.858999967575,0,1,True,,100092,perfect_global_clean,48,48,True,,1.0,0.12500000000810477,"[16.653179973452637, 22.34605356257418, 18.057108044029317, 15.12187098314384, 9.635602550768159, 6.950540970809914, 6.16615, 9.38205495724937, 12.089418332840872, 7.98804810816174, 6.16615, 6.931671717930787, 39.40145260457087, 12.956867795590025, 6.16615, 6.16615, 6.16615, 5.561600207366011, 4.328225262989285, 3.0949463170508893, 1.861763370582868, 2.5358336474503322, 1.6285891266277803, 2.4661720000000003, 3.699402, 4.932728, 6.16615, 6.16615, 6.16615, 6.16615, 19.48566703747597, 26.43204306482599, 61.40636816886664, 78.37847653950983, 59.08967649312602, 103.43133653051133, 49.84669290866924, 52.57667342863474, 44.79691116114866, 54.14152555331116, 49.83933540658598, 48.8937605567215, 47.163263448189035, 54.924334722733875, 45.47807229188439, 54.48504056277817, 52.74208766685084, 47.351780398277675]","[37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115, 37.53872916599115]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1801.858999967575,0.001528816722596597,0.001528816722596597,9,3
33,Perfect-Global,93,test_id,id_actual,perfect_full_horizon,48,,1266.8040880060507,1266.8040880060507,0.0,,1800.4409999847412,37.509187499682106,1800.4409999847412,0,1,True,,100093,perfect_global_clean,48,48,True,,1.0,0.12500000000808797,"[24.83614007862823, 22.48893906327258, 19.30450342382758, 13.400488708717894, 11.041776785021446, 9.536387035146408, 13.404948172849046, 7.4718100235976, 10.080164959681163, 11.222780221373277, 11.49555160735019, 9.997334159464986, 21.694149743421548, 10.777786734196804, 6.16615, 6.16615, 6.16615, 6.16615, 5.585225817851707, 4.92916602744812, 3.695840306295368, 2.6816828848122922, 1.4485321094741896, 2.6816828833500144, 3.91492965944749, 5.148272434790806, 6.16615, 6.16615, 6.16615, 7.3237067869879535, 19.719917580877457, 30.747201652032047, 38.36798631028518, 71.70634570270181, 90.25144465524298, 94.01785617932481, 42.42709721078108, 60.47362313631944, 52.796317074094404, 54.49920553073298, 60.744554644544735, 55.83513882929707, 57.593657992581626, 53.40500591315092, 58.1490478334335, 51.07094982052558, 47.43931350825183, 50.234574804866746]","[37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106, 37.509187499682106]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step7b_33_perfect_global_raw.csv,0.0,full_day_optimization_objective,False,9,11378,0,6482,4752,48,1800.4409999847412,0.0012509705694818735,0.0012509705694818735,9,3
